Date,US Equity Index
29/12/1995,792.04
1/1/1996,792.04
2/1/1996,798.22
3/1/1996,799.12
4/1/1996,794.47
5/1/1996,793.2
8/1/1996,795.68
9/1/1996,784.16
10/1/1996,770.11
11/1/1996,775.56
12/1/1996,774.43
15/1/1996,771.87
16/1/1996,782.97
17/1/1996,780.37
18/1/1996,782.85
19/1/1996,787.48
22/1/1996,789.5
23/1/1996,788.72
24/1/1996,797.98
25/1/1996,794.22
26/1/1996,800.13
29/1/1996,803.64
30/1/1996,811.3
31/1/1996,819
1/2/1996,822.3
2/2/1996,818.97
5/2/1996,826.23
6/2/1996,832.56
7/2/1996,837.34
8/2/1996,845.44
9/2/1996,845.87
12/2/1996,852.47
13/2/1996,851.48
14/2/1996,845.24
15/2/1996,839.9
16/2/1996,835.7
19/2/1996,835.7
20/2/1996,826.26
21/2/1996,836.01
22/2/1996,849.93
23/2/1996,850.23
26/2/1996,839.12
27/2/1996,835.06
28/2/1996,832.1
29/2/1996,826.59
1/3/1996,831.7
4/3/1996,840.15
5/3/1996,846.66
6/3/1996,842.02
7/3/1996,844.21
8/3/1996,818.19
11/3/1996,826.65
12/3/1996,822.87
13/3/1996,825.14
14/3/1996,828.15
15/3/1996,828.9
18/3/1996,843.44
19/3/1996,842.22
20/3/1996,840.02
21/3/1996,839.05
22/3/1996,840.9
25/3/1996,840.15
26/3/1996,843.94
27/3/1996,838.95
28/3/1996,839
29/3/1996,834.55
1/4/1996,845.2
2/4/1996,847.35
3/4/1996,848.17
4/4/1996,848.21
5/4/1996,848.21
8/4/1996,833.47
9/4/1996,830.84
10/4/1996,819.62
11/4/1996,816.7
12/4/1996,823.86
15/4/1996,831.33
16/4/1996,834.58
17/4/1996,830.31
18/4/1996,832.92
19/4/1996,834.81
22/4/1996,838.46
23/4/1996,843.25
24/4/1996,841.46
25/4/1996,844.96
26/4/1996,845.83
29/4/1996,846.76
30/4/1996,846.85
1/5/1996,847.49
2/5/1996,833.12
3/5/1996,830.89
6/5/1996,829.91
7/5/1996,826.63
8/5/1996,835.28
9/5/1996,836.37
10/5/1996,845.07
13/5/1996,857.44
14/5/1996,862.89
15/5/1996,862.79
16/5/1996,862.14
17/5/1996,867.76
20/5/1996,873.34
21/5/1996,872.85
22/5/1996,880.31
23/5/1996,877.19
24/5/1996,880.46
27/5/1996,880.46
28/5/1996,872.32
29/5/1996,866.96
30/5/1996,872
31/5/1996,868.69
3/6/1996,866.83
4/6/1996,873.21
5/6/1996,881.09
6/6/1996,874.22
7/6/1996,874.6
10/6/1996,873.14
11/6/1996,871.6
12/6/1996,869.48
13/6/1996,868.08
14/6/1996,865.4
17/6/1996,864.53
18/6/1996,860.52
19/6/1996,860.4
20/6/1996,860.61
21/6/1996,866.79
24/6/1996,869.41
25/6/1996,868.93
26/6/1996,863.88
27/6/1996,869.3
28/6/1996,872.01
1/7/1996,878.97
2/7/1996,876.19
3/7/1996,874.63
4/7/1996,874.63
5/7/1996,855.19
8/7/1996,849.07
9/7/1996,852.03
10/7/1996,853.77
11/7/1996,840.34
12/7/1996,841.01
15/7/1996,819.68
16/7/1996,817.82
17/7/1996,825.32
18/7/1996,837.74
19/7/1996,831.46
22/7/1996,825
23/7/1996,816.03
24/7/1996,815.77
25/7/1996,821.65
26/7/1996,827.81
29/7/1996,821.43
30/7/1996,827.13
31/7/1996,833.48
1/8/1996,846.77
2/8/1996,863.06
