ISM Release Date,ISM Actual Reported,ISM Median Forecast
2/2/1998,52.4,52.8
2/3/1998,53.3,52.5
1/4/1998,54.8,53
1/5/1998,52.9,54
1/6/1998,51.4,52.3
1/7/1998,49.6,51
3/8/1998,49.1,49.8
1/9/1998,49.4,50.5
1/10/1998,49.4,49.3
2/11/1998,48.3,49
1/12/1998,46.8,48
4/1/1999,45.1,47.5
1/2/1999,49.5,46
1/3/1999,52.4,50
1/4/1999,54.3,52
3/5/1999,52.8,54.5
1/6/1999,55.2,54
1/7/1999,57,54.8
2/8/1999,53.4,56
1/9/1999,54.2,54.7
1/10/1999,57.8,54.5
1/11/1999,56.6,NA
1/12/1999,56.2,NA
3/1/2000,55.5,56
1/2/2000,56.3,56.3
1/3/2000,56.9,56
3/4/2000,55.8,57
1/5/2000,54.9,55.8
1/6/2000,53.2,55.5
3/7/2000,51.8,53.5
1/8/2000,51.8,52.4
1/9/2000,49.5,52.3
2/10/2000,49.9,50
1/11/2000,48.3,49.5
1/12/2000,47.7,48.5
2/1/2001,43.7,47
1/2/2001,41.2,43.8
1/3/2001,41.9,42
2/4/2001,43.1,42
1/5/2001,43.2,44
1/6/2001,42.1,43.5
2/7/2001,44.7,42.3
1/8/2001,43.6,44.5
4/9/2001,47.9,44
1/10/2001,47,46
1/11/2001,39.8,44.5
3/12/2001,44.5,42
2/1/2002,48.2,45
1/2/2002,49.9,49.5
1/3/2002,54.7,50.8
1/4/2002,55.6,54.5
1/5/2002,53.9,55
3/6/2002,55.7,54.9
1/7/2002,56.2,55.8
1/8/2002,50.5,55
3/9/2002,50.5,52
1/10/2002,49.5,50.1
1/11/2002,48.5,49.5
2/12/2002,49.2,50.3
2/1/2003,54.7,50
3/2/2003,53.9,54.5
3/3/2003,50.5,52.4
1/4/2003,46.2,48.8
1/5/2003,45.4,47
2/6/2003,49.4,48.3
1/7/2003,49.8,51
1/8/2003,51.8,51.9
2/9/2003,54.7,53.5
1/10/2003,53.7,56.4
3/11/2003,57,56
1/12/2003,62.8,57.5
2/1/2004,66.2,61
2/2/2004,63.6,64
1/3/2004,61.4,62
1/4/2004,62.5,60.5
3/5/2004,62.4,63
1/6/2004,62.8,62
1/7/2004,61.1,61.4
2/8/2004,62,62
1/9/2004,59,60.3
1/10/2004,58.5,59
1/11/2004,56.8,58.5
1/12/2004,57.8,57
3/1/2005,58.6,58.3
1/2/2005,56.4,57.1
1/3/2005,55.3,56.8
1/4/2005,55.2,55
2/5/2005,53.3,55.2
1/6/2005,51.4,52
1/7/2005,53.8,51.6
1/8/2005,56.6,55
1/9/2005,53.6,58
3/10/2005,59.4,52.5
1/11/2005,59.1,58
1/12/2005,58.1,57.8
3/1/2006,54.2,57.3
1/2/2006,54.8,56
1/3/2006,56.7,55.6
3/4/2006,55.2,57.5
1/5/2006,57.3,55
1/6/2006,54.4,56
3/7/2006,53.8,54.9
1/8/2006,54.7,54
1/9/2006,54.5,55
2/10/2006,52.9,54
1/11/2006,51.2,53.1
1/12/2006,49.5,52.1
2/1/2007,51.4,50
1/2/2007,49.3,52
1/3/2007,52.3,50
2/4/2007,50.9,52
1/5/2007,54.7,51.1
1/6/2007,55,54
2/7/2007,56,55.4
1/8/2007,53.8,56
4/9/2007,52.9,53
1/10/2007,52,52.8
1/11/2007,50.9,51.8
3/12/2007,50.8,50.4
2/1/2008,47.7,50.9
1/2/2008,50.7,47
3/3/2008,48.3,48.1
1/4/2008,48.6,48
